step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
2,PAYMENT,117.21,C4,1969.47,1852.26,C6,63.95,181.16,0,0
2,TRANSFER,50.05,C42,4771.3,4721.25,C19,559.77,609.82,0,0
2,CASH_OUT,88.38,C34,3273.2,3184.83,C45,79.87,168.25,0,0
2,DEBIT,307.54,C50,4224.6,3917.06,C26,4761.03,5068.57,0,0
2,CASH_IN,13.94,C25,3663.34,3649.39,C37,4030.99,4044.94,0,0
2,CASH_IN,461.86,C25,3649.39,3187.53,C4,1852.26,2314.12,0,0
2,TRANSFER,45.86,C18,3675.15,3629.29,C6,181.16,227.02,0,0
2,CASH_IN,220.58,C21,3562.17,3341.59,C15,3691.11,3911.69,0,0
2,CASH_IN,21.09,C9,1692.98,1671.89,C43,1908.63,1929.72,0,0
2,PAYMENT,165.38,C48,1610.16,1444.78,C27,851.26,1016.65,0,0
2,PAYMENT,94.0,C43,1929.72,1835.72,C35,4426.3,4520.3,0,0
2,PAYMENT,326.33,C16,1212.85,886.52,C6,227.02,553.35,0,0
2,CASH_OUT,51.79,C42,4721.25,4669.46,C20,2159.03,2210.82,0,0
2,PAYMENT,110.16,C43,1835.72,1725.56,C36,3713.81,3823.97,0,0
2,CASH_OUT,146.73,C37,4044.94,3898.21,C48,1444.78,1591.51,0,0
2,CASH_IN,52.25,C17,4270.77,4218.52,C25,3187.53,3239.78,0,0
2,CASH_IN,21.02,C7,1098.19,1077.16,C35,4520.3,4541.32,0,0
3,PAYMENT,233.45,C40,555.8,322.35,C27,1016.65,1250.1,0,0
3,PAYMENT,66.81,C41,4566.14,4499.32,C50,3917.06,3983.87,0,0
3,TRANSFER,314.51,C1,1726.05,1411.53,C27,1250.1,1564.61,0,0
3,CASH_IN,108.16,C35,4541.32,4433.16,C19,609.82,717.98,0,0
3,PAYMENT,17.8,C11,1214.04,1196.24,C43,1725.56,1743.36,0,0
3,DEBIT,392.79,C49,2075.19,1682.4,C30,1700.07,2092.86,0,0
3,TRANSFER,243.69,C37,3898.21,3654.51,C33,3779.84,4023.53,0,0
3,TRANSFER,23.41,C34,3184.83,3161.42,C22,4598.1,4621.51,0,0
3,CASH_IN,348.67,C10,2956.7,2608.03,C27,1564.61,1913.28,0,0
3,PAYMENT,12.47,C34,3161.42,3148.95,C32,4406.39,4418.87,0,0
3,CASH_OUT,36.59,C27,1913.28,1876.69,C13,848.05,884.64,0,0
3,CASH_IN,34.01,C40,322.35,288.34,C42,4669.46,4703.47,0,0
3,TRANSFER,459.83,C16,886.52,426.69,C38,3971.27,4431.1,0,0
3,CASH_OUT,197.57,C34,3148.95,2951.38,C46,2714.25,2911.82,0,0
3,PAYMENT,53.0,C3,721.31,668.31,C22,4621.51,4674.51,0,0
3,PAYMENT,52.1,C13,884.64,832.55,C11,1196.24,1248.34,0,0
3,PAYMENT,744.74,C31,2056.53,1311.79,C41,4499.32,5244.07,0,0
3,CASH_OUT,204.42,C39,2382.45,2178.03,C12,3442.95,3647.37,0,0
3,CASH_IN,92.66,C28,631.18,538.51,C7,1077.16,1169.83,0,0
3,CASH_OUT,11.94,C7,1169.83,1157.89,C44,3206.46,3218.4,0,0
4,TRANSFER,105.62,C18,3629.29,3523.67,C19,717.98,823.59,0,0
4,PAYMENT,41.77,C27,1876.69,1834.92,C24,1399.99,1441.76,0,0
4,PAYMENT,70.11,C40,288.34,218.23,C29,3805.66,3875.77,0,0
4,PAYMENT,188.7,C33,4023.53,3834.83,C49,1682.4,1871.1,0,0
4,CASH_IN,231.73,C10,2608.03,2376.3,C32,4418.87,4650.6,0,0
4,CASH_OUT,113.71,C6,553.35,439.64,C20,2210.82,2324.53,0,0
4,CASH_IN,37.43,C2,1633.97,1596.54,C35,4433.16,4470.59,0,0
4,CASH_IN,63.27,C2,1596.54,1533.27,C3,668.31,731.59,0,0
4,PAYMENT,27.19,C28,538.51,511.33,C16,426.69,453.87,0,0
4,PAYMENT,17.92,C12,3647.37,3629.45,C33,3834.83,3852.75,0,0
4,PAYMENT,121.83,C32,4650.6,4528.77,C42,4703.47,4825.29,0,0
4,DEBIT,843.52,C27,1834.92,991.39,C30,2092.86,2936.39,0,0
4,PAYMENT,381.37,C8,764.99,383.62,C42,4825.29,5206.66,0,0
4,PAYMENT,31.66,C22,4674.51,4642.85,C23,1026.61,1058.27,0,0
4,PAYMENT,65.47,C22,4642.85,4577.38,C26,5068.57,5134.04,0,0
4,PAYMENT,167.1,C15,3911.69,3744.59,C9,1671.89,1839.0,0,0
4,CASH_OUT,507.33,C1,1411.53,904.2,C9,1839.0,2346.33,0,0
4,CASH_OUT,237.77,C47,3192.19,2954.42,C18,3523.67,3761.44,0,0
4,CASH_IN,7.24,C23,1058.27,1051.03,C18,3761.44,3768.68,0,0
4,CASH_OUT,31.38,C49,1871.1,1839.73,C24,1441.76,1473.13,0,0
5,CASH_IN,11.95,C17,4218.52,4206.57,C16,453.87,465.82,0,0
5,PAYMENT,105.84,C37,3654.51,3548.68,C28,511.33,617.16,0,0
5,CASH_OUT,329.61,C48,1591.51,1261.9,C20,2324.53,2654.14,0,0
5,CASH_OUT,146.77,C24,1473.13,1326.36,C1,904.2,1050.98,0,0
5,PAYMENT,794.85,C2,1533.27,738.41,C12,3629.45,4424.3,0,0
5,TRANSFER,259.29,C22,4577.38,4318.09,C14,4120.88,4380.17,0,0
5,CASH_OUT,509.07,C22,4318.09,3809.02,C33,3852.75,4361.81,0,0
5,CASH_IN,233.53,C15,3744.59,3511.06,C32,4528.77,4762.3,0,0
5,PAYMENT,52.42,C30,2936.39,2883.97,C15,3511.06,3563.48,0,0
5,CASH_IN,428.41,C46,2911.82,2483.41,C12,4424.3,4852.71,0,0
5,PAYMENT,207.77,C42,5206.66,4998.89,C11,1248.34,1456.12,0,0
5,PAYMENT,20.01,C9,2346.33,2326.31,C15,3563.48,3583.49,0,0
5,TRANSFER,166.85,C31,1311.79,1144.94,C29,3875.77,4042.62,0,0
5,CASH_OUT,240.59,C33,4361.81,4121.23,C37,3548.68,3789.27,0,0
5,CASH_IN,48.74,C25,3239.78,3191.04,C17,4206.57,4255.31,0,0
5,CASH_OUT,811.54,C35,4470.59,3659.05,C48,1261.9,2073.44,0,0
5,CASH_OUT,330.76,C32,4762.3,4431.54,C16,465.82,796.58,0,0
5,CASH_OUT,102.16,C34,2951.38,2849.22,C43,1743.36,1845.52,0,0
5,CASH_OUT,230.91,C12,4852.71,4621.79,C48,2073.44,2304.36,0,0
5,DEBIT,198.82,C22,3809.02,3610.2,C15,3583.49,3782.31,0,0
6,CASH_IN,133.53,C2,738.41,604.89,C27,991.39,1124.92,0,0
6,TRANSFER,63.66,C34,2849.22,2785.56,C2,604.89,668.55,0,0
6,CASH_OUT,152.33,C40,218.23,65.9,C13,832.55,984.87,0,0
6,PAYMENT,153.59,C23,1051.03,897.44,C48,2304.36,2457.95,0,0
6,PAYMENT,8.18,C15,3782.31,3774.13,C19,823.59,831.77,0,0
6,CASH_IN,108.68,C18,3768.68,3660.0,C14,4380.17,4488.86,0,0
6,TRANSFER,829.06,C23,897.44,68.38,C50,3983.87,4812.93,0,0
6,CASH_OUT,46.28,C17,4255.31,4209.03,C21,3341.59,3387.87,0,0
6,CASH_OUT,115.38,C9,2326.31,2210.93,C30,2883.97,2999.36,0,0
6,CASH_OUT,14.78,C46,2483.41,2468.62,C30,2999.36,3014.14,0,0
6,PAYMENT,616.16,C35,3659.05,3042.89,C38,4431.1,5047.26,0,0
6,PAYMENT,94.24,C44,3218.4,3124.16,C22,3610.2,3704.44,0,0
6,DEBIT,5.57,C10,2376.3,2370.73,C3,731.59,737.16,0,0
6,CASH_OUT,13.99,C45,168.25,154.27,C9,2210.93,2224.91,0,0
6,PAYMENT,13.93,C5,1407.59,1393.67,C45,154.27,168.19,0,0
6,CASH_OUT,84.11,C48,2457.95,2373.84,C50,4812.93,4897.04,0,0
6,TRANSFER,36.72,C42,4998.89,4962.17,C30,3014.14,3050.86,0,0
6,CASH_OUT,24.84,C36,3823.97,3799.13,C24,1326.36,1351.2,0,0
6,CASH_IN,48.53,C11,1456.12,1407.59,C22,3704.44,3752.97,0,0
6,PAYMENT,94.13,C1,1050.98,956.85,C11,1407.59,1501.72,0,0
7,PAYMENT,13.13,C1,956.85,943.71,C32,4431.54,4444.67,0,0
7,PAYMENT,76.31,C12,4621.79,4545.49,C34,2785.56,2861.87,0,0
7,PAYMENT,28.76,C15,3774.13,3745.37,C35,3042.89,3071.65,0,0
7,TRANSFER,86.25,C13,984.87,898.62,C49,1839.73,1925.98,0,0
7,TRANSFER,240.78,C4,2314.12,2073.34,C29,4042.62,4283.4,0,0
7,CASH_IN,373.26,C8,383.62,10.36,C19,831.77,1205.03,0,0
7,PAYMENT,68.38,C23,68.38,0.0,C39,2178.03,2246.41,0,0
7,DEBIT,21.69,C25,3191.04,3169.35,C14,4488.86,4510.54,0,0
7,TRANSFER,137.68,C48,2373.84,2236.16,C31,1144.94,1282.61,0,0
7,CASH_OUT,65.9,C40,65.9,0.0,C14,4510.54,4576.45,0,0
7,PAYMENT,602.42,C7,1157.89,555.47,C49,1925.98,2528.4,0,0
7,PAYMENT,167.02,C29,4283.4,4116.38,C40,0.0,167.02,0,0
7,PAYMENT,298.74,C15,3745.37,3446.63,C9,2224.91,2523.65,0,0
7,TRANSFER,252.05,C46,2468.62,2216.58,C6,439.64,691.68,0,0
7,CASH_OUT,191.72,C16,796.58,604.87,C44,3124.16,3315.88,0,0
7,PAYMENT,85.42,C12,4545.49,4460.07,C35,3071.65,3157.07,0,0
7,CASH_IN,68.73,C31,1282.61,1213.89,C43,1845.52,1914.25,0,0
7,CASH_IN,20.87,C15,3446.63,3425.76,C35,3157.07,3177.94,0,0
7,PAYMENT,66.54,C4,2073.34,2006.8,C22,3752.97,3819.51,0,0
7,DEBIT,159.89,C32,4444.67,4284.78,C44,3315.88,3475.78,0,0
8,CASH_IN,88.58,C32,4284.78,4196.2,C35,3177.94,3266.52,0,0
8,TRANSFER,250.0,C49,2528.4,2278.39,C29,4116.38,4366.38,0,0
8,PAYMENT,367.6,C10,2370.73,2003.13,C43,1914.25,2281.85,0,0
8,CASH_OUT,484.2,C48,2236.16,1751.96,C47,2954.42,3438.62,0,0
8,CASH_OUT,166.06,C7,555.47,389.41,C46,2216.58,2382.63,0,0
8,TRANSFER,117.15,C3,737.16,620.01,C26,5134.04,5251.18,0,0
8,CASH_IN,95.27,C46,2382.63,2287.36,C5,1393.67,1488.94,0,0
8,TRANSFER,98.67,C2,668.55,569.87,C15,3425.76,3524.43,0,0
8,CASH_IN,29.62,C33,4121.23,4091.61,C38,5047.26,5076.88,0,0
8,CASH_IN,178.3,C13,898.62,720.33,C15,3524.43,3702.73,0,0
8,DEBIT,97.79,C2,569.87,472.08,C15,3702.73,3800.52,0,0
8,TRANSFER,21.97,C11,1501.72,1479.75,C13,720.33,742.29,0,0
8,PAYMENT,40.75,C25,3169.35,3128.61,C1,943.71,984.46,0,0
8,CASH_OUT,380.0,C15,3800.52,3420.52,C17,4209.03,4589.03,0,0
8,CASH_OUT,47.91,C37,3789.27,3741.36,C5,1488.94,1536.85,0,0
8,CASH_IN,168.61,C17,4589.03,4420.41,C49,2278.39,2447.01,0,0
8,CASH_OUT,89.04,C27,1124.92,1035.88,C7,389.41,478.46,0,0
8,TRANSFER,157.42,C3,620.01,462.59,C14,4576.45,4733.87,0,0
8,CASH_IN,234.89,C16,604.87,369.98,C46,2287.36,2522.25,0,0
8,PAYMENT,131.04,C38,5076.88,4945.84,C27,1035.88,1166.91,0,0
9,CASH_IN,311.51,C41,5244.07,4932.55,C42,4962.17,5273.68,0,0
9,TRANSFER,70.85,C46,2522.25,2451.4,C38,4945.84,5016.69,0,0
9,CASH_IN,67.63,C27,1166.91,1099.28,C6,691.68,759.32,0,0
9,PAYMENT,78.96,C46,2451.4,2372.44,C1,984.46,1063.42,0,0
9,TRANSFER,17.99,C20,2654.14,2636.15,C18,3660.0,3677.99,0,0
9,PAYMENT,737.0,C13,742.29,5.29,C5,1536.85,2273.85,0,0
9,CASH_IN,32.19,C17,4420.41,4388.22,C23,0.0,32.19,0,0
9,TRANSFER,497.24,C14,4733.87,4236.63,C11,1479.75,1976.99,0,0
9,CASH_IN,106.26,C28,617.16,510.9,C4,2006.8,2113.06,0,0
9,CASH_OUT,5.29,C13,5.29,0.0,C16,369.98,375.27,0,0
9,CASH_OUT,143.27,C25,3128.61,2985.34,C8,10.36,153.63,0,0
9,PAYMENT,247.01,C3,462.59,215.58,C43,2281.85,2528.86,0,0
9,TRANSFER,142.08,C33,4091.61,3949.53,C40,167.02,309.11,0,0
9,PAYMENT,128.66,C27,1099.28,970.62,C33,3949.53,4078.19,0,0
9,PAYMENT,645.11,C34,2861.87,2216.75,C7,478.46,1123.57,0,0
9,TRANSFER,68.37,C13,0.0,0.0,C45,168.19,236.57,0,0
9,CASH_OUT,24.12,C25,2985.34,2961.21,C20,2636.15,2660.28,0,0
9,CASH_OUT,295.67,C43,2528.86,2233.19,C14,4236.63,4532.29,0,0
9,CASH_IN,377.5,C50,4897.04,4519.55,C27,970.62,1348.12,0,0
9,CASH_IN,160.13,C9,2523.65,2363.53,C29,4366.38,4526.51,0,0
10,CASH_IN,32.19,C23,32.19,0.0,C33,4078.19,4110.38,0,0
10,CASH_OUT,3247.12,C37,3741.36,494.24,C23,0.0,3247.12,1,0
10,TRANSFER,4834.45,C35,3266.52,0.0,C39,2246.41,7080.85,1,0
10,CASH_OUT,137.67,C6,759.32,621.64,C17,4388.22,4525.89,0,0
10,CASH_OUT,78.41,C5,2273.85,2195.44,C16,375.27,453.68,0,0
10,TRANSFER,6.06,C33,4110.38,4104.32,C46,2372.44,2378.5,0,0
10,DEBIT,427.33,C13,0.0,0.0,C35,0.0,427.33,0,0
10,TRANSFER,694.83,C13,0.0,0.0,C32,4196.2,4891.03,0,0
10,PAYMENT,96.79,C39,7080.85,6984.06,C4,2113.06,2209.85,0,0
10,TRANSFER,258.51,C48,1751.96,1493.45,C26,5251.18,5509.69,0,0
10,CASH_IN,58.43,C4,2209.85,2151.42,C38,5016.69,5075.12,0,0
10,TRANSFER,480.78,C17,4525.89,4045.11,C5,2195.44,2676.22,0,0
10,CASH_OUT,10.19,C9,2363.53,2353.34,C42,5273.68,5283.88,0,0
10,TRANSFER,6.96,C12,4460.07,4453.11,C24,1351.2,1358.16,0,0
10,DEBIT,19.83,C32,4891.03,4871.2,C21,3387.87,3407.7,0,0
10,CASH_OUT,160.06,C14,4532.29,4372.23,C37,494.24,654.3,0,0
10,PAYMENT,392.87,C43,2233.19,1840.32,C23,3247.12,3639.99,0,0
10,CASH_OUT,30.38,C11,1976.99,1946.61,C16,453.68,484.06,0,0
10,CASH_IN,102.93,C5,2676.22,2573.29,C46,2378.5,2481.43,0,0
10,PAYMENT,846.45,C19,1205.03,358.59,C13,0.0,846.45,0,0
11,TRANSFER,86.35,C4,2151.42,2065.07,C33,4104.32,4190.68,0,0
11,PAYMENT,236.57,C45,236.57,0.0,C14,4372.23,4608.8,0,0
11,CASH_OUT,208.59,C14,4608.8,4400.21,C3,215.58,424.17,0,0
11,PAYMENT,181.86,C23,3639.99,3458.13,C14,4400.21,4582.07,0,0
11,PAYMENT,194.09,C34,2216.75,2022.67,C5,2573.29,2767.38,0,0
11,PAYMENT,543.07,C33,4190.68,3647.61,C31,1213.89,1756.95,0,0
11,TRANSFER,358.59,C19,358.59,0.0,C23,3458.13,3816.71,0,0
11,PAYMENT,174.97,C30,3050.86,2875.88,C47,3438.62,3613.59,0,0
11,PAYMENT,334.01,C19,0.0,0.0,C27,1348.12,1682.13,0,0
11,CASH_IN,114.71,C5,2767.38,2652.67,C49,2447.01,2561.72,0,0
11,TRANSFER,141.36,C12,4453.11,4311.75,C22,3819.51,3960.86,0,0
11,CASH_IN,309.11,C40,309.11,0.0,C35,427.33,736.44,0,0
11,PAYMENT,289.05,C11,1946.61,1657.55,C41,4932.55,5221.61,0,0
11,CASH_IN,94.42,C50,4519.55,4425.13,C30,2875.88,2970.3,0,0
11,TRANSFER,65.24,C5,2652.67,2587.43,C34,2022.67,2087.9,0,0
11,PAYMENT,37.12,C27,1682.13,1645.01,C39,6984.06,7021.18,0,0
11,CASH_IN,80.02,C1,1063.42,983.4,C28,510.9,590.93,0,0
11,CASH_OUT,38.68,C45,0.0,0.0,C20,2660.28,2698.96,0,0
11,CASH_OUT,186.85,C41,5221.61,5034.76,C32,4871.2,5058.04,0,0
11,DEBIT,295.72,C31,1756.95,1461.23,C32,5058.04,5353.77,0,0
12,PAYMENT,481.98,C45,0.0,0.0,C34,2087.9,2569.88,0,0
12,PAYMENT,205.04,C48,1493.45,1288.41,C32,5353.77,5558.81,0,0
12,CASH_OUT,93.02,C2,472.08,379.06,C33,3647.61,3740.63,0,0
12,TRANSFER,7692.2,C36,3799.13,0.0,C10,2003.13,9695.33,1,0
12,PAYMENT,287.59,C5,2587.43,2299.84,C31,1461.23,1748.82,0,0
12,CASH_IN,312.78,C37,654.3,341.52,C15,3420.52,3733.3,0,0
12,PAYMENT,290.61,C12,4311.75,4021.15,C15,3733.3,4023.91,0,0
12,CASH_IN,76.85,C22,3960.86,3884.01,C23,3816.71,3893.56,0,0
12,CASH_IN,1078.24,C18,3677.99,2599.75,C27,1645.01,2723.25,0,0
12,CASH_IN,16.51,C45,0.0,0.0,C11,1657.55,1674.07,0,0
12,PAYMENT,93.58,C5,2299.84,2206.26,C2,379.06,472.64,0,0
12,CASH_OUT,83.31,C39,7021.18,6937.87,C4,2065.07,2148.38,0,0
12,CASH_IN,81.71,C24,1358.16,1276.45,C13,846.45,928.16,0,0
12,CASH_IN,557.78,C39,6937.87,6380.08,C41,5034.76,5592.54,0,0
12,PAYMENT,238.38,C5,2206.26,1967.88,C20,2698.96,2937.33,0,0
12,PAYMENT,326.64,C29,4526.51,4199.87,C15,4023.91,4350.55,0,0
12,DEBIT,53.28,C47,3613.59,3560.31,C26,5509.69,5562.97,0,0
12,CASH_IN,461.85,C18,2599.75,2137.9,C4,2148.38,2610.23,0,0
12,TRANSFER,4.15,C9,2353.34,2349.18,C8,153.63,157.78,0,0
12,PAYMENT,233.87,C9,2349.18,2115.31,C32,5558.81,5792.68,0,0
13,TRANSFER,147.93,C31,1748.82,1600.88,C29,4199.87,4347.8,0,0
13,CASH_OUT,378.31,C40,0.0,0.0,C12,4021.15,4399.45,0,0
13,CASH_OUT,81.2,C14,4582.07,4500.87,C41,5592.54,5673.74,0,0
13,CASH_IN,233.52,C17,4045.11,3811.59,C43,1840.32,2073.84,0,0
13,CASH_OUT,54.9,C43,2073.84,2018.94,C21,3407.7,3462.6,0,0
13,TRANSFER,674.62,C48,1288.41,613.79,C35,736.44,1411.06,0,0
13,PAYMENT,200.04,C7,1123.57,923.53,C37,341.52,541.57,0,0
13,PAYMENT,341.77,C29,4347.8,4006.03,C40,0.0,341.77,0,0
13,CASH_OUT,134.36,C38,5075.12,4940.76,C23,3893.56,4027.92,0,0
13,CASH_IN,87.64,C24,1276.45,1188.81,C46,2481.43,2569.07,0,0
13,CASH_OUT,125.76,C15,4350.55,4224.79,C19,0.0,125.76,0,0
13,PAYMENT,240.01,C1,983.4,743.39,C18,2137.9,2377.9,0,0
13,CASH_OUT,258.27,C14,4500.87,4242.59,C15,4224.79,4483.06,0,0
13,CASH_OUT,92.4,C21,3462.6,3370.19,C37,541.57,633.97,0,0
13,TRANSFER,72.63,C32,5792.68,5720.05,C18,2377.9,2450.54,0,0
13,CASH_IN,265.47,C41,5673.74,5408.28,C4,2610.23,2875.7,0,0
13,CASH_IN,307.07,C43,2018.94,1711.88,C38,4940.76,5247.83,0,0
13,PAYMENT,5.75,C15,4483.06,4477.31,C23,4027.92,4033.67,0,0
13,CASH_OUT,54.0,C10,9695.33,9641.33,C12,4399.45,4453.45,0,0
13,TRANSFER,162.51,C20,2937.33,2774.83,C34,2569.88,2732.39,0,0
14,TRANSFER,176.81,C31,1600.88,1424.07,C25,2961.21,3138.02,0,0
14,CASH_OUT,48.42,C20,2774.83,2726.41,C5,1967.88,2016.3,0,0
14,CASH_IN,124.93,C3,424.17,299.25,C44,3475.78,3600.7,0,0
14,CASH_IN,60.43,C42,5283.88,5223.44,C33,3740.63,3801.06,0,0
14,CASH_OUT,10.28,C1,743.39,733.11,C38,5247.83,5258.11,0,0
14,TRANSFER,271.65,C45,0.0,0.0,C43,1711.88,1983.53,0,0
14,TRANSFER,128.03,C28,590.93,462.89,C33,3801.06,3929.1,0,0
14,CASH_IN,39.08,C50,4425.13,4386.05,C16,484.06,523.14,0,0
14,CASH_OUT,552.89,C9,2115.31,1562.42,C14,4242.59,4795.48,0,0
14,CASH_OUT,235.54,C21,3370.19,3134.65,C19,125.76,361.3,0,0
14,TRANSFER,56.49,C48,613.79,557.3,C39,6380.08,6436.58,0,0
14,CASH_OUT,109.85,C48,557.3,447.45,C22,3884.01,3993.86,0,0
14,CASH_IN,184.73,C49,2561.72,2376.99,C37,633.97,818.7,0,0
14,TRANSFER,7772.8,C33,3929.1,0.0,C39,6436.58,14209.38,1,0
14,PAYMENT,302.94,C28,462.89,159.96,C11,1674.07,1977.0,0,0
14,CASH_IN,60.49,C26,5562.97,5502.49,C50,4386.05,4446.53,0,0
14,PAYMENT,100.6,C17,3811.59,3710.99,C39,14209.38,14309.98,0,0
14,CASH_OUT,299.25,C3,299.25,0.0,C23,4033.67,4332.92,0,0
14,TRANSFER,34.0,C16,523.14,489.15,C45,0.0,34.0,0,0
14,PAYMENT,137.46,C40,341.77,204.31,C7,923.53,1060.99,0,0
15,CASH_IN,53.1,C7,1060.99,1007.89,C2,472.64,525.74,0,0
15,PAYMENT,300.58,C10,9641.33,9340.75,C14,4795.48,5096.06,0,0
15,TRANSFER,3.87,C25,3138.02,3134.15,C5,2016.3,2020.17,0,0
15,CASH_OUT,168.19,C35,1411.06,1242.87,C22,3993.86,4162.05,0,0
15,CASH_OUT,66.05,C30,2970.3,2904.25,C22,4162.05,4228.1,0,0
15,TRANSFER,332.63,C34,2732.39,2399.77,C48,447.45,780.08,0,0
15,PAYMENT,117.63,C23,4332.92,4215.29,C16,489.15,606.78,0,0
15,CASH_OUT,18.39,C27,2723.25,2704.86,C7,1007.89,1026.28,0,0
15,CASH_IN,104.65,C47,3560.31,3455.66,C32,5720.05,5824.7,0,0
15,PAYMENT,357.64,C42,5223.44,4865.8,C4,2875.7,3233.34,0,0
15,CASH_OUT,150.65,C4,3233.34,3082.69,C26,5502.49,5653.14,0,0
15,PAYMENT,207.35,C36,0.0,0.0,C35,1242.87,1450.22,0,0
15,PAYMENT,16.24,C43,1983.53,1967.29,C33,0.0,16.24,0,0
15,CASH_OUT,33.3,C13,928.16,894.85,C31,1424.07,1457.38,0,0
15,CASH_OUT,553.32,C20,2726.41,2173.08,C7,1026.28,1579.6,0,0
15,TRANSFER,357.84,C20,2173.08,1815.25,C4,3082.69,3440.53,0,0
15,PAYMENT,91.15,C6,621.64,530.5,C13,894.85,986.0,0,0
15,PAYMENT,3.94,C22,4228.1,4224.16,C24,1188.81,1192.75,0,0
15,PAYMENT,289.86,C1,733.11,443.26,C10,9340.75,9630.61,0,0
15,CASH_IN,16.24,C33,16.24,0.0,C38,5258.11,5274.35,0,0
16,PAYMENT,144.4,C18,2450.54,2306.14,C48,780.08,924.48,0,0
16,PAYMENT,162.88,C10,9630.61,9467.72,C22,4224.16,4387.05,0,0
16,PAYMENT,236.17,C34,2399.77,2163.6,C32,5824.7,6060.87,0,0
16,CASH_OUT,257.99,C22,4387.05,4129.06,C24,1192.75,1450.74,0,0
16,CASH_IN,72.03,C40,204.31,132.28,C43,1967.29,2039.31,0,0
16,CASH_IN,192.2,C31,1457.38,1265.17,C5,2020.17,2212.37,0,0
16,CASH_IN,118.53,C12,4453.45,4334.92,C35,1450.22,1568.75,0,0
16,TRANSFER,399.36,C4,3440.53,3041.17,C6,530.5,929.86,0,0
16,CASH_IN,16.74,C14,5096.06,5079.32,C17,3710.99,3727.73,0,0
16,CASH_OUT,322.65,C42,4865.8,4543.15,C48,924.48,1247.13,0,0
16,CASH_IN,8.17,C39,14309.98,14301.81,C15,4477.31,4485.49,0,0
16,CASH_OUT,37.03,C34,2163.6,2126.57,C2,525.74,562.77,0,0
16,CASH_IN,191.2,C3,0.0,0.0,C7,1579.6,1770.8,0,0
16,PAYMENT,173.34,C14,5079.32,4905.98,C33,0.0,173.34,0,0
16,CASH_IN,37.18,C6,929.86,892.68,C42,4543.15,4580.33,0,0
16,CASH_OUT,166.99,C49,2376.99,2210.0,C24,1450.74,1617.73,0,0
16,PAYMENT,54.46,C26,5653.14,5598.67,C39,14301.81,14356.27,0,0
16,CASH_IN,75.27,C20,1815.25,1739.97,C26,5598.67,5673.95,0,0
16,PAYMENT,127.36,C43,2039.31,1911.95,C49,2210.0,2337.37,0,0
16,CASH_IN,322.16,C49,2337.37,2015.21,C19,361.3,683.46,0,0
17,CASH_OUT,105.82,C20,1739.97,1634.15,C16,606.78,712.6,0,0
17,CASH_IN,66.38,C38,5274.35,5207.97,C9,1562.42,1628.81,0,0
17,TRANSFER,137.29,C47,3455.66,3318.37,C19,683.46,820.75,0,0
17,CASH_IN,49.65,C42,4580.33,4530.68,C8,157.78,207.43,0,0
17,CASH_OUT,536.85,C47,3318.37,2781.52,C10,9467.72,10004.57,0,0
17,PAYMENT,5.13,C2,562.77,557.64,C23,4215.29,4220.42,0,0
17,CASH_OUT,133.28,C21,3134.65,3001.36,C30,2904.25,3037.53,0,0
